boys,1267
e,1263
hot,1260
moment,1256
says,1250
upon,1248
body,1246
mother,1243
breathe,1241
o,1240
floor,1238
seem,1238
low,1233
rise,1232
eye,1229
calling,1224
hearts,1223
empty,1220
wall,1220
uh,1219
gun,1215
breath,1209
king,1208
3,1202
blame,1198
being,1197
skin,1195
learn,1192
children,1172
shame,1162
lot,1161
belong,1157
mama,1152
outside,1152
slow,1148
three,1146
cut,1144
'em,1142
power,1137
felt,1131
throw,1128
earth,1121
holding,1115
across,1106
peace,1097
use,1094
caught,1092
knees,1092
blow,1091
shit,1091
2,1082
wouldn't,1079
son,1076
sorry,1072
loved,1069
train,1064
nowhere,1063
loving,1060
reach,1046
turned,1044
river,1042
yet,1040
car,1040
summer,1039
future,1038
sit,1037
scream,1033
isn't,1033
doing,1023
turning,1018
tight,1018
drive,1016
drink,1015
d,1015
party,1014
faith,1013
singing,1004
carry,1003
;,1001
don,999
straight,992
story,990
keeps,989
7,987
ways,981
looks,980
bit,979
bright,977
meant,977
top,977
taste,974
clear,972
cool,966
watching,965
babe,964
giving,963
ones,963
dying,960
dear,953
mouth,952
talking,951
strange,950
gold,948
tear,945
anyone,943
fade,942
known,941
streets,938
yours,937
leaving,935
ba,935
both,934
pull,929
memories,928
pray,924
crying,922
hair,922
trust,922
catch,922
waste,921
great,919
breaking,915
lover,914
against,910
men,910
perfect,909
angel,907
higher,906
loves,906
nice,905
they'll,902
become,899
lady,898
losing,896
win,895
0,893
within,892
darkness,891
'til,889
lead,886
space,885
half,884
fell,877
near,876
blues,875
worth,874
pass,873
devil,872
speak,871
hello,867
silence,863
promise,861
nights,859
radio,858
read,856
which,852
started,847
someday,845
finally,843
kids,841
stone,841
pick,840
walls,839
answer,838
moving,836
lips,835
dirty,835
trouble,825
grow,825
fucking,823
send,821
goin',819
damn,819
almost,819
dreaming,817
called,814
memory,806
freedom,806
dog,802
hole,800
loud,799
needs,795
ll,793
bye,793
scared,788
closer,787
thoughts,787
hang,786
bleed,784
sight,782
dancing,782
saying,780
already,779
shut,779
met,779
four,778
shot,778
window,777
push,777
4,776
father,774
shadows,772
