'til,792
room,792
sky,790
thinking,789
hoe,788
bust,785
tha,784
sometimes,784
four,782
comes,781
fucked,781
dope,776
behind,769
red,768
r,767
minute,767
gettin,766
five,766
living,765
c,765
fat,762
control,761
soul,760
kick,758
ball,758
shoot,758
swear,757
being,749
pass,747
pimp,746
talkin',746
running,746
wanted,744
ho,741
nice,737
dog,737
pick,737
different,734
pretty,730
both,727
bang,727
type,723
lady,723
motherfucker,722
meet,720
use,719
homie,718
yo',718
most,718
rich,718
hop,715
gold,714
number,712
lookin,710
eat,709
thang,707
quick,707
stick,706
makes,706
sleep,705
morning,703
tried,699
spend,697
rest,697
okay,697
women,694
chick,693
style,693
sing,693
bed,687
school,687
rain,687
hundred,686
six,686
wouldn't,686
waiting,686
reason,685
nah,683
lookin',683
4,682
shine,680
kid,679
million,678
goin,675
sweet,672
x,671
smile,670
lil',670
soon,667
who's,664
easy,657
talkin,656
blood,655
star,654
fine,654
tryin',650
haters,650
momma,649
mic,647
today,647
dat,646
tired,645
sex,644
we'll,644
spot,643
gets,641
k,641
ghetto,641
scared,636
lets,634
ohh,634
feels,634
years,634
drive,633
boom,632
deal,630
past,629
part,628
saw,626
knows,625
bridge,624
wake,624
murder,623
year,620
feet,618
sun,617
chance,615
follow,615
family,612
doin,611
tight,610
clothes,610
dreams,610
fool,609
water,608
plus,607
50,606
doin',605
neck,602
middle,600
grab,600
shady,599
mother,598
hair,598
booty,597
son,597
til,596
promise,596
c'mon,595
bag,595
j,594
fresh,590
business,589
mr,589
ground,589
sorry,588
hustle,588
taking,586
dark,584
bump,584
cant,583
grind,582
push,576
brain,575
picture,575
speak,575
comin,575
ma,574
lord,574
stuck,573
strong,572
war,572
chain,571
south,571
death,570
heat,570
paid,568
save,568
yours,565
rappers,564
kind,562
bit,562
ya'll,561
weed,561
blue,558
cars,557
comin',553
5,552
freak,552
kinda,550
holla,549
dj,549
ones,549
gangsta,548
eye,547
worth,547
knock,545
fun,543
shots,540
loose,539
double,539
wit',538
thank,538
does,538
fake,536
alive,536
boss,535
crew,534
born,534
met,533
dough,531
somethin,530
burn,530
respect,530
track,529
send,529
guy,529
second,529
may,529
wonder,529
feelin',527
shoes,527
gimme,527
each,524
none,522
re,522
woman,521
fact,519
rhyme,518
aye,513
perfect,510
happy,509
crib,507
wild,502
somethin',501
buck,501
learn,498
bottle,498
ring,498
happen,497
fame,497
write,496
breathe,496
boo,495
green,494
dollar,494
flip,493
point,490
wall,489
imma,488
playing,487
peace,486
win,486
everyday,486
hello,483
rather,482
lips,481
road,478
intro,477
count,476
joe,475
supposed,474
nine,474
team,474
known,474
ten,473
beautiful,470
taste,469
seem,469
between,468
hip,467
piece,467
ill,466
called,465
click,464
bought,464
they're,464
nothin,461
handle,461
sayin',460
yet,459
whip,459
chest,459
thug,459
nelly,456
treat,456
ahead,455
mo',455
suck,455
sell,455
pray,455
switch,454
common,453
worry,453
corner,453
loving,452
diamonds,452
motherfuckers,452
y,451
loud,450
few,449
shut,448
fo',448
dre,446
calling,446
wants,446
power,445
hang,444
lick,444
bottom,443
ll,443
rhymes,443
drunk,440
seems,440
problem,439
west,439
brother,439
dude,436
eh,434
dumb,434
wet,433
ok,431
quit,430
self,429
cup,428
guns,427
clean,425
beef,422
case,420
makin',419
slim,418
hide,417
girlfriend,417
sayin,416
record,415
turned,415
telling,414
stupid,414
clear,412
fear,410
bread,409
xzibit,406
scream,405
w,404
felt,403
tip,402
anybody,402
very,402
games,401
changed,400
moment,399
6,399
such,398
cops,398
working,398
dip,397
trouble,395
feelin,395
breath,394
story,393
read,393
tomorrow,393
livin',393
dawg,393
finally,392
thinkin',392
v,392
ain,391
less,391
h,390
dem,390
runnin',389
heavy,388
means,388
twenty,388
thinkin,387
level,387
slide,387
yall,387
state,386
plan,386
glass,386
father,386
funny,386
timbaland,385
lock,385
woah,385
nights,384
york,384
giving,382
brand,382
lyrics,381
wife,381
great,381
rapper,380
lies,378
ta,377
outside,377
raw,375
stars,373
takes,372
keeps,372
watching,372
chicks,371
ways,371
brought,371
week,370
along,370
job,370
feelings,369
summer,369
heaven,369
ba,368
bigger,368
blame,368
keys,367
future,367
wear,366
child,365
trunk,365
drake,364
album,363
thousand,362
grown,361
beats,361
dollars,360
lonely,360
bottles,360
either,358
bank,357
livin,357
box,357
makin,356
twista,356
against,355
chill,355
drama,355
runnin,354
super,352
figure,352
everywhere,352
proof,352
doubt,352
afraid,351
later,351
chamillionaire,350
falling,350
finger,349
attention,349
poppin',348
ridin,348
pack,347
tears,347
bar,346
police,344
bullshit,343
that'll,342
cop,342
deserve,341
mess,341
coke,341
welcome,341
stage,340
shirt,340
nowhere,340
mami,339
wayne,339
wrist,338
trip,338
you'd,338
key,338
brown,338
fell,337
zone,336
smell,336
wont,336
meant,335
locked,335
everyone,335
playa,334
rolling,333
stack,333
men,333
least,333
poppin,332
mike,332
short,332
dirt,332
steady,330
test,330
raise,330
moving,329
bun,329
problems,329
here's,328
playin',328
ahh,327
legs,326
truck,326
twice,326
voice,326
safe,325
sweat,325
single,325
lead,324
earth,322
paint,322
holding,322
news,321
special,320
smoking,320
fit,320
stuff,319
tear,319
candy,319
liquor,319
grow,318
knees,318
which,318
having,318
seven,317
says,317
land,316
clap,315
kept,315
movie,314
looks,314
soft,314
guys,313
crowd,313
sign,313
weight,312
missing,312
player,312
across,311
class,311
sense,311
seat,311
broken,310
walking,310
goodbye,310
oooh,310
we've,309
acting,309
cent,309
miami,309
almost,309
drugs,309
takin',308
pants,308
reach,307
anymore,307
9,306
fill,305
played,305
battle,305
harder,305
jail,303
space,302
freaky,301
riding,300
everytime,300
usher,300
standing,299
loved,299
bomb,299
instead,298
glad,298
killed,297
ran,297
wrote,296
waste,296
sitting,296
sip,296
mom,296
woo,296
sold,295
jigga,295
mirror,295
pistol,295
benz,295
eight,294
wa,294
playin,293
question,292
10,291
window,291
screaming,291
thick,291
yellow,291
doesn't,290
carry,290
radio,290
whats,289
moves,288
takin,288
haha,287
bow,287
diamond,286
bye,285
gas,284
thoughts,284
magic,283
cross,283
trick,283
naked,283
motherfuckin',283
homies,283
skin,283
jesus,282
g's,282
park,281
singing,281
higher,280
arms,280
lover,280
stacks,280
rocks,279
price,279
motherfuckin,278
records,277
pound,275
gucci,274
cha,272
finish,272
chase,272
rules,271
mayne,271
tongue,271
blind,271
gang,270
speed,269
8,269
brooklyn,269
tough,268
lean,268
pretend,268
split,268
platinum,268
ear,268
cake,268
laugh,267
fade,267
bizarre,267
doo,267
bay,267
they'll,266
pour,266
blast,266
wind,266
drug,266
motherfucking,265
choose,265
swag,264
bass,264
fo,263
cats,263
'head,263
clip,263
ima,262
become,262
favorite,261
closer,261
near,260
asked,260
shout,259
represent,259
weak,259
christmas,259
leaving,258
explain,258
mi,258
excuse,258
trap,258
cock,257
honey,257
whenever,257
jack,257
coast,257
bone,256
doors,256
dig,256
walked,256
spent,255
thugs,255
rollin,255
nasty,255
wow,254
roof,254
pump,254
it'll,254
mo,253
store,253
raised,253
above,252
songs,252
thangs,252
juice,252
tv,252
loves,252
somewhere,252
john,251
hits,250
jeans,250
folks,250
pocket,249
tape,249
roc,249
grand,248
scene,248
pimpin,248
ashanti,247
plenty,246
bricks,246
longer,246
places,246
isn't,246
needs,246
east,245
feed,245
soldier,244
ey,244
balls,244
nose,244
main,244
birthday,244
trippin',244
chrome,244
dancing,244
toast,244
small,243
pulled,243
shop,243
happened,242
worse,242
admit,242
blunt,242
squad,241
smokin',240
cheese,239
share,239
mix,238
pride,236
devil,236
won,236
smokin,236
arm,236
dis,235
dropped,235
pitbull,234
strip,233
fan,233
range,233
unless,233
cat,233
pressure,232
sad,232
stress,231
hurts,231
evil,231
bright,231
100,231
mack,230
threw,230
order,230
pictures,230
kelly,230
ayy,229
died,229
dress,229
aw,229
simple,229
pre,229
obie,229
mall,228
apart,228
queen,228
duck,228
shame,227
7,227
slap,227
survive,227
knowing,227
breaking,226
moon,226
prove,226
worst,226
ballin',225
bullet,225
insane,224
fans,224
slip,224
bags,224
x4,223
rise,223
bling,223
bird,223
nuts,223
glock,223
bend,223
ghost,223
country,223
secret,223
dad,222
pen,222
hurry,222
rip,222
omarion,222
rush,222
bite,222
fix,222
crime,222
'fore,222
dr,222
actin,221
jealous,221
plane,221
extra,221
funky,221
hi,221
champagne,221
anyway,220
jam,219
dogg,219
bruh,219
wave,218
lines,218
looked,218
plans,218
fifty,217
grip,217
famous,217
bill,216
ur,216
flight,216
rollin',216
christ,216
lives,216
owe,216
4x,215
waitin',215
yuh,215
rings,215
snap,215
answer,215
shows,214
broad,214
watchin',214
outro,214
chains,214
early,214
forgot,214
mystikal,214
drinking,213
grill,213
dime,213
angel,213
train,213
pa,213
butt,213
cover,213
twist,213
sin,213
mm,212
kitchen,212
she'll,212
forgive,211
empty,211
mac,211
tellin',211
ridin',211
bullets,211
ol',210
hoping,210
lately,210
tellin,210
naw,209
'round,209
asking,209
shouldn't,208
wide,208
trippin,207
lemme,207
lying,206
sittin,206
law,206
heads,206
faded,206
killing,205
lit,205
vision,205
gat,205
wack,205
mc's,204
serious,204
actin',204
