Artist,Genre,key,mode,valence,tempo,year,speechiness,instrumentalness,time_signature
The Strokes,Rock,D,Major,0.394,82.95700000000002,2006.0,0.0411,0.0383,3.0
Radiohead,Rock,C#,Major,0.8440000000000001,94.458,2007.0,0.0422,0.338,4.0
Skid Row,Rock,C#,Minor,0.354,90.439,2017.0,0.0298,7.26e-05,4.0
A Day To Remember,Rock,F,Major,0.239,156.447,2005.0,0.308,0.0816,4.0
Patti Smith,Rock,B,Minor,0.799,133.387,1997.0,0.0278,0.313,4.0
Alejandro Escovedo,Rock,C,Major,0.232,91.543,2009.0,0.0279,0.0,3.0
Cheap Trick,Rock,F#,Major,0.777,138.336,1977.0,0.875,9.11e-06,3.0
Jimi Hendrix,Rock,C#,Major,0.229,138.25799999999998,1968.0,0.106,0.00609,4.0
Van Halen,Rock,E,Major,0.0697,68.84,1984.0,0.0378,7.72e-05,3.0
Radiohead,Rock,F,Minor,0.386,149.582,2003.0,0.0504,5.1e-05,4.0
Radiohead,Rock,F,Minor,0.34700000000000003,148.165,2004.0,0.0561,0.0007559999999999999,4.0
Pato Fu,Rock,G,Major,0.931,165.123,2001.0,0.0481,0.000453,4.0
Pearl Jam,Rock,A,Major,0.328,199.979,1991.0,0.0535,0.262,3.0
The Vaccines,Rock,C,Major,0.425,168.1,2015.0,0.174,0.0006580000000000001,4.0
Cowboy Junkies,Rock,C,Major,0.131,71.445,1988.0,0.0344,0.00824,4.0
Cowboy Junkies,Rock,C,Major,0.0882,82.17399999999998,1995.0,0.0303,0.35,4.0
Green Day,Rock,A#,Major,0.6659999999999999,187.433,2017.0,0.13,8.070000000000001e-05,4.0
Arctic Monkeys,Rock,G,Major,0.618,157.001,2013.0,0.0514,2.58e-05,4.0
Vampire Weekend,Rock,C,Major,0.449,73.785,2019.0,0.0427,0.00105,4.0
Green Day,Rock,F,Major,0.419,159.072,2009.0,0.0364,0.0,4.0
Green Day,Rock,F,Major,0.445,167.895,2009.0,0.0411,0.000134,4.0
Rush,Rock,A,Minor,0.275,132.025,2011.0,0.107,0.00132,4.0
Green Day,Rock,C#,Major,0.0953,119.491,2009.0,0.189,0.00943,4.0
Ozzy Osbourne,Rock,C#,Major,0.486,110.513,2005.0,0.0844,0.00845,4.0
Wilco,Rock,C,Minor,0.0,0.0,2020.0,0.0,0.0,0.0
Stevie Nicks,Rock,A,Minor,0.695,123.015,2014.0,0.0283,0.000443,4.0
The Black Keys,Rock,B,Minor,0.171,212.509,2002.0,0.722,0.135,4.0
Patti Smith,Rock,A,Major,0.605,119.18,1978.0,0.0553,0.0,4.0
Paramore,Rock,D,Major,0.409,90.00399999999998,2017.0,0.0266,3.5600000000000005e-05,4.0
Incubus,Rock,B,Minor,0.306,117.431,2004.0,0.0425,0.8079999999999999,4.0
The Lemonheads,Rock,D,Major,0.6759999999999999,181.034,1987.0,0.0377,0.0476,4.0
Cheap Trick,Rock,E,Major,0.7909999999999999,141.459,1983.0,0.0411,4.55e-05,4.0
Chuck Berry,Rock,C,Major,0.847,171.665,2017.0,0.204,0.0015,3.0
Stone Sour,Rock,B,Minor,0.338,163.919,2019.0,0.134,0.00863,4.0
Van Halen,Rock,D,Major,0.21600000000000005,119.166,1991.0,0.0432,0.67,3.0
Van Halen,Rock,A,Major,0.248,122.395,1993.0,0.0909,0.865,3.0
Bob Dylan,Rock,B,Major,0.852,91.121,2008.0,0.0457,1.94e-05,4.0
ZZ Top,Rock,A#,Major,0.677,96.061,1999.0,0.0515,0.0601,4.0
Tenacious D,Rock,G,Major,0.348,107.003,2012.0,0.03,4.41e-06,4.0
The Cure,Rock,C#,Minor,0.265,89.995,2000.0,0.041,0.00891,4.0
Tenacious D,Rock,G,Major,0.29100000000000004,123.32,2016.0,0.0472,0.0,4.0
The Lemonheads,Rock,G,Major,0.57,196.343,2014.0,0.0938,0.00093,4.0
Matchbox Twenty,Rock,G#,Major,0.5429999999999999,108.031,1996.0,0.0284,0.0,4.0
Matchbox Twenty,Rock,G#,Major,0.5429999999999999,108.031,2018.0,0.0284,0.0,4.0
Cowboy Junkies,Rock,D,Minor,0.222,94.176,2011.0,0.0277,0.0428,4.0
Incubus,Rock,E,Minor,0.036000000000000004,118.954,2004.0,0.0407,0.847,4.0
Radiohead,Rock,A,Major,0.225,124.157,2007.0,0.0311,0.0657,4.0
Bullet For My Valentine,Rock,G#,Major,0.35600000000000004,92.818,2005.0,0.0804,1.86e-05,4.0
Lulu Santos,Rock,D,Major,0.8540000000000001,133.773,2002.0,0.0479,0.868,4.0
Franz Ferdinand,Rock,G,Minor,0.563,104.013,2004.0,0.0366,0.0863,4.0
Sum 41,Rock,F#,Minor,0.62,75.529,2019.0,0.0756,0.000472,4.0
Avenged Sevenfold,Rock,G,Minor,0.379,145.004,2020.0,0.0674,0.0,4.0
Korn,Rock,D,Major,0.0395,69.47800000000001,1999.0,0.0312,0.939,4.0
MGMT,Rock,A,Major,0.335,159.97,2007.0,0.125,0.918,4.0
Incubus,Rock,C,Major,0.218,117.508,2004.0,0.0405,0.754,4.0
Bruce Springsteen,Rock,C,Major,0.496,102.578,1973.0,0.0374,4.45e-06,4.0
Bruce Springsteen,Rock,C,Major,0.529,88.428,2018.0,0.0292,0.0,4.0
Bruce Springsteen,Rock,C,Major,0.628,177.335,1986.0,0.0391,9.05e-05,4.0
Bruce Springsteen,Rock,C,Major,0.443,79.656,2018.0,0.0365,0.0,4.0
The Byrds,Rock,D,Major,0.591,176.048,1980.0,0.0357,0.000528,3.0
Train,Rock,F#,Major,0.753,140.032,2018.0,0.0466,0.00015900000000000002,4.0
Arctic Monkeys,Rock,C,Major,0.234,140.267,2007.0,0.0543,5.79e-05,4.0
Van Halen,Rock,C#,Major,0.679,157.65200000000004,1986.0,0.0471,0.00234,4.0
Patti Smith,Rock,E,Major,0.6920000000000001,117.118,1979.0,0.0408,0.00254,4.0
Jimmy Eat World,Rock,F#,Major,0.188,104.575,2019.0,0.0294,0.0,4.0
Bruce Springsteen,Rock,G,Major,0.64,132.061,1992.0,0.0978,0.0153,4.0
Heart,Rock,G,Major,0.378,149.029,2012.0,0.0348,0.00425,4.0
Heart,Rock,G,Major,0.29600000000000004,74.366,2013.0,0.0753,0.0353,4.0
David Bowie,Rock,G,Major,0.35700000000000004,90.813,2002.0,0.0293,0.0121,4.0
The Byrds,Rock,D,Major,0.541,178.301,1965.0,0.0372,0.0,3.0
The Byrds,Rock,D,Major,0.519,174.981,1990.0,0.0408,0.0,3.0
Soundgarden,Rock,G,Major,0.394,111.775,2017.0,0.0536,0.609,4.0
Soundgarden,Rock,G,Major,0.16399999999999998,112.262,2017.0,0.0406,0.232,4.0
Arctic Monkeys,Rock,A,Minor,0.541,98.377,2006.0,0.105,8.37e-06,4.0
The Flaming Lips,Rock,G,Minor,0.0517,71.214,2014.0,0.0289,0.794,4.0
The Flaming Lips,Rock,G,Minor,0.0314,70.303,2014.0,0.0403,0.828,4.0
Slipknot,Rock,B,Major,0.8059999999999999,85.58,2009.0,0.0575,0.000877,4.0
Marillion,Rock,C#,Major,0.444,102.831,2016.0,0.0338,2.730000000000001e-05,4.0
Green Day,Rock,D#,Major,0.861,188.649,1995.0,0.0864,0.00328,4.0
Green Day,Rock,D,Major,0.718,170.929,2012.0,0.0568,0.000157,4.0
Green Day,Rock,C,Major,0.669,172.035,2012.0,0.0859,0.0,4.0
Green Day,Rock,C,Major,0.386,172.044,2014.0,0.314,0.00192,4.0
Soul Asylum,Rock,D,Major,0.159,116.962,1992.0,0.102,0.779,4.0
Soul Asylum,Rock,E,Major,0.255,128.562,2018.0,0.11,0.0,4.0
Van Halen,Rock,D,Major,0.743,170.375,1988.0,0.0495,0.0,3.0
Gloria,Rock,G,Major,0.5710000000000001,140.02200000000002,2012.0,0.117,0.0,4.0
Neutral Milk Hotel,Rock,F#,Major,0.14800000000000002,77.961,1996.0,0.0283,7.04e-06,4.0
David Bowie,Rock,G#,Major,0.746,168.54,2002.0,0.0548,0.252,4.0
Elvis Presley,Rock,C,Major,0.965,87.471,1959.0,0.0443,0.205,4.0
Elvis Presley,Rock,G,Minor,0.965,88.008,1997.0,0.0473,0.514,4.0
Elvis Presley,Rock,C,Major,0.693,183.798,1973.0,0.123,0.0665,4.0
Elvis Presley,Rock,C,Major,0.807,191.283,1973.0,0.0946,0.0595,4.0
Elvis Presley,Rock,C,Major,0.792,95.487,1973.0,0.0682,0.0605,4.0
The Used,Rock,C#,Minor,0.445,116.787,2003.0,0.152,2.08e-06,4.0
Elvis Presley,Rock,G#,Major,0.17,108.334,1962.0,0.0397,3.26e-06,4.0
Cowboy Junkies,Rock,B,Minor,0.196,142.61700000000005,2011.0,0.0309,0.386,3.0
Warren Zevon,Rock,B,Major,0.968,121.977,2018.0,0.0427,0.0,4.0
Arctic Monkeys,Rock,B,Major,0.201,137.94899999999998,2006.0,0.0401,6.06e-05,4.0
Incubus,Rock,B,Minor,0.326,122.154,2004.0,0.219,0.0075,4.0
The Flaming Lips,Rock,G,Major,0.332,107.992,2003.0,0.034,0.000563,4.0
Buffalo Springfield,Rock,G,Major,0.846,81.09100000000002,2000.0,0.0267,4.65e-06,4.0
Marillion,Rock,A#,Major,0.469,141.81799999999996,2019.0,0.04,0.0,4.0
Incubus,Rock,F#,Minor,0.113,89.65,2004.0,0.104,0.103,4.0
Sum 41,Rock,C#,Minor,0.477,154.899,2019.0,0.0598,5.67e-05,4.0
Bush,Rock,B,Minor,0.0,78.71600000000002,2008.0,0.546,0.0,3.0
Manic Street Preachers,Rock,C,Major,0.389,94.415,1996.0,0.0404,0.0,4.0
Bring Me The Horizon,Rock,F,Major,0.0383,78.079,2019.0,0.0376,0.913,4.0
Máquina Monstro,Rock,B,Minor,0.318,73.984,2018.0,0.0472,0.126,4.0
Tom Petty,Rock,D,Major,0.311,139.545,2020.0,0.0295,5.49e-06,4.0
The Cure,Rock,C#,Major,0.764,143.394,1985.0,0.0527,0.001,4.0
Marillion,Rock,D,Major,0.141,103.974,2019.0,0.0452,0.00116,4.0
Staind,Rock,C,Major,0.366,75.801,1999.0,0.0444,0.00399,4.0
Bob Dylan,Rock,G,Major,0.687,118.29,1973.0,0.0604,1.83e-05,4.0
The Cure,Rock,A,Minor,0.383,75.009,2011.0,0.0337,0.721,4.0
The Cure,Rock,C,Major,0.421,81.117,1980.0,0.0648,0.605,4.0
The Cure,Rock,A,Minor,0.5489999999999999,162.127,1980.0,0.0644,0.846,4.0
Kansas,Rock,F#,Minor,0.504,106.747,1979.0,0.0875,9.62e-06,4.0
Bruce Springsteen,Rock,D,Major,0.516,203.258,1998.0,0.0451,0.0,4.0
Pink Floyd,Rock,C,Major,0.264,84.311,1994.0,0.0293,0.00124,3.0
Pink Floyd,Rock,C,Major,0.17600000000000002,168.248,1995.0,0.0321,0.00032900000000000003,3.0
The Cure,Rock,C#,Major,0.502,126.632,1984.0,0.0324,0.4,4.0
Bob Dylan,Rock,E,Major,0.642,183.595,2010.0,0.0437,0.00925,3.0
Bob Dylan,Rock,E,Major,0.302,92.744,1971.0,0.0297,8.52e-05,4.0
Bob Dylan,Rock,E,Major,0.18600000000000005,159.045,1966.0,0.0347,0.0,3.0
Bob Dylan,Rock,A,Major,0.812,134.19899999999998,2019.0,0.0841,3.64e-05,4.0
Bob Dylan,Rock,F,Major,0.366,169.864,1965.0,0.0734,0.0,3.0
Bob Dylan,Rock,E,Major,0.448,95.239,1963.0,0.033,0.0192,4.0
Tom Petty,Rock,A,Major,0.7809999999999999,129.346,2020.0,0.0261,0.000628,4.0
Tom Petty,Rock,A,Major,0.718,128.455,2020.0,0.0275,3.09e-06,4.0
Cowboy Junkies,Rock,A,Major,0.792,123.559,1992.0,0.0308,0.00026000000000000003,4.0
Emmerson Nogueira,Rock,D,Major,0.605,128.917,2007.0,0.0945,0.0,4.0
Van Morrison,Rock,C,Major,0.202,105.817,1997.0,0.0316,0.00093,3.0
Incubus,Rock,A,Minor,0.083,132.632,2006.0,0.0568,0.000213,4.0
Marillion,Rock,E,Minor,0.0841,92.058,2019.0,0.0446,0.00107,4.0
Neil Young,Rock,C#,Major,0.535,79.286,2014.0,0.627,0.000106,4.0
The Cure,Rock,A,Major,0.728,150.187,1992.0,0.0321,0.000916,4.0
The Cure,Rock,F#,Minor,0.436,77.301,1993.0,0.0364,0.00353,4.0
Slipknot,Rock,B,Minor,0.152,116.773,2019.0,0.0372,0.0114,4.0
Linkin Park,Rock,D,Major,0.0404,99.706,2014.0,0.0885,0.0198,4.0
Linkin Park,Rock,D,Major,0.254,100.249,2014.0,0.249,0.0,4.0
Linkin Park,Rock,G,Major,0.0367,100.041,2014.0,0.0596,0.828,4.0
Dawes,Rock,F,Major,0.269,143.747,2011.0,0.0364,0.0,4.0
Dawes,Rock,F,Major,0.478,139.091,2017.0,0.0272,0.0,4.0
Little Richard,Rock,F,Minor,0.966,131.344,1966.0,0.051,0.0,4.0
Alice In Chains,Rock,G#,Minor,0.119,120.782,2000.0,0.226,3.73e-05,4.0
Green Day,Rock,F#,Major,0.753,143.997,2012.0,0.0376,0.00106,4.0
Green Day,Rock,F#,Major,0.509,135.429,2014.0,0.149,0.0233,4.0
Elvis Presley,Rock,D,Major,0.835,114.172,2007.0,0.0784,0.0,4.0
The Cure,Rock,A,Major,0.969,138.887,1985.0,0.0348,0.882,4.0
Neil Young,Rock,D,Minor,0.128,88.955,2018.0,0.0334,0.0295,4.0
Neil Young,Rock,D,Minor,0.117,81.782,1977.0,0.0341,0.0178,4.0
Lulu Santos,Rock,B,Major,0.579,81.012,2002.0,0.0981,0.00111,4.0
Elvis Presley,Rock,C,Major,0.862,117.257,1968.0,0.0318,4.6e-05,4.0
Elvis Presley,Rock,C,Major,0.774,114.576,1997.0,0.0327,1.29e-05,4.0
Heart,Rock,D,Minor,0.507,120.028,2012.0,0.0276,0.0941,4.0
Scorpions,Rock,C,Major,0.17800000000000002,77.792,1999.0,0.0517,3.29e-06,3.0
Pato Fu,Rock,C#,Minor,0.868,130.252,1998.0,0.0382,0.008620000000000001,4.0
David Bowie,Rock,C,Major,0.616,125.349,1977.0,0.067,0.889,4.0
The Cure,Rock,F#,Minor,0.706,119.966,2011.0,0.0405,0.00336,4.0
The Cure,Rock,F#,Minor,0.6559999999999999,121.958,1985.0,0.0287,0.00242,4.0
The Cure,Rock,F#,Minor,0.5,119.313,1985.0,0.0357,0.5660000000000001,4.0
The Cure,Rock,F#,Minor,0.539,114.245,1993.0,0.037000000000000005,0.0395,4.0
Rod Stewart,Rock,G,Major,0.396,85.85600000000002,2004.0,0.03,0.0,4.0
The Cure,Rock,E,Major,0.926,134.47899999999998,1981.0,0.0321,0.857,4.0
Los Hermanos,Rock,F#,Minor,0.52,114.069,2003.0,0.0274,0.282,4.0
The Pogues,Rock,G,Major,0.18600000000000005,165.627,1987.0,0.0316,0.0118,3.0
Linkin Park,Rock,B,Major,0.458,133.063,2020.0,0.184,0.0,4.0
Linkin Park,Rock,G#,Minor,0.21,132.175,2020.0,0.126,0.000534,4.0
Linkin Park,Rock,B,Major,0.121,129.80700000000002,2012.0,0.368,7.27e-06,4.0
Radiohead,Rock,B,Minor,0.562,79.039,2003.0,0.0268,0.054000000000000006,4.0
Disturbed,Rock,F#,Minor,0.26,75.04,2018.0,0.0248,0.0,4.0
Disturbed,Rock,F#,Minor,0.115,147.4,2019.0,0.376,0.0,4.0
The Cure,Rock,D,Major,0.154,173.42700000000005,1980.0,0.0656,0.845,4.0
The Cure,Rock,A#,Major,0.0398,129.537,1980.0,0.0319,0.895,4.0
Radiohead,Rock,A,Major,0.17600000000000002,77.053,1997.0,0.028,0.349,3.0
The Smiths,Rock,A#,Major,0.633,110.14,1987.0,0.0268,5.45e-06,4.0
Pink Floyd,Rock,B,Major,0.0883,94.516,2016.0,0.0654,0.6890000000000001,1.0
A Day To Remember,Rock,C,Major,0.35,196.011,2005.0,0.106,0.0,4.0
Megadeth,Rock,D,Minor,0.358,142.849,1999.0,0.0538,0.121,4.0
Lou Reed,Rock,D,Major,0.5920000000000001,125.659,1976.0,0.173,6.49e-05,4.0
The Cure,Rock,C,Major,0.649,116.566,1982.0,0.0319,0.165,4.0
The Cure,Rock,C,Major,0.583,135.0,1982.0,0.0611,0.705,4.0
Wilco,Rock,D,Major,0.542,126.41,2020.0,0.0297,3.510000000000001e-05,4.0
Wilco,Rock,D,Major,0.638,126.077,2020.0,0.0284,0.0554,4.0
Glasvegas,Rock,G,Major,0.379,106.199,2016.0,0.0287,0.00199,4.0
Explosions In The Sky,Rock,B,Minor,0.264,160.951,2000.0,0.0384,0.889,4.0
Gram Parsons,Rock,A,Major,0.385,99.856,2018.0,0.0256,0.000184,4.0
Tori Amos,Rock,F,Minor,0.888,153.072,2002.0,0.0433,0.0206,4.0
Tori Amos,Rock,F,Minor,0.674,76.991,2007.0,0.0395,0.192,4.0
Tori Amos,Rock,F,Minor,0.647,76.967,2007.0,0.0347,0.0553,4.0
Tori Amos,Rock,F,Minor,0.622,76.97,2007.0,0.037000000000000005,0.0424,4.0
Tori Amos,Rock,F,Minor,0.596,76.977,2007.0,0.0422,0.243,4.0
The Flaming Lips,Rock,E,Major,0.153,166.44299999999996,1999.0,0.0305,0.374,4.0
The Cure,Rock,A,Minor,0.564,112.798,1982.0,0.043,0.0801,4.0
The Cure,Rock,C,Minor,0.7240000000000001,138.795,1982.0,0.0421,0.0241,4.0
Red Hot Chili Peppers,Rock,C#,Major,0.745,77.071,2012.0,0.0428,0.000357,4.0
Bush,Rock,D,Minor,0.303,125.333,2014.0,0.0573,0.0386,4.0
Lou Reed,Rock,A,Major,0.442,93.344,2019.0,0.0466,0.772,4.0
The Cure,Rock,D,Major,0.421,178.787,1987.0,0.0277,0.142,4.0
The Cure,Rock,D,Major,0.303,88.434,1987.0,0.0259,0.628,4.0
Ted Nugent,Rock,E,Major,0.511,127.23,1977.0,0.0322,0.41,4.0
Deep Purple,Rock,A,Minor,0.379,131.36,2007.0,0.0972,0.121,4.0
Marillion,Rock,B,Minor,0.297,141.907,2019.0,0.0342,0.000597,3.0
Pato Fu,Rock,G,Major,0.5920000000000001,99.905,1995.0,0.0418,0.0793,4.0
Disturbed,Rock,B,Major,0.5479999999999999,169.96900000000005,2000.0,0.0652,0.0,5.0
Radiohead,Rock,G,Major,0.364,69.27,2003.0,0.0303,4.21e-06,3.0
Janis Joplin,Rock,A#,Major,0.235,147.987,1971.0,0.0474,0.000934,4.0
Tom Petty,Rock,A,Major,0.4,126.408,2018.0,0.0421,0.0009880000000000002,4.0
Célio Azevedo,Rock,C,Major,0.403,126.692,2020.0,0.149,1.69e-06,5.0
Santana,Rock,D,Major,0.381,131.089,1974.0,0.113,0.72,4.0
The Trashmen,Rock,F#,Major,0.66,92.446,1992.0,0.0785,0.0,4.0
Joan Jett & The Blackhearts,Rock,A,Major,0.404,154.055,2010.0,0.359,6.67e-06,4.0
Korn,Rock,A#,Minor,0.193,121.057,2006.0,0.193,0.0314,4.0
Korn,Rock,A,Major,0.29,110.442,2004.0,0.147,0.0274,4.0
Van Halen,Rock,C#,Minor,0.322,195.974,1988.0,0.0694,0.0485,4.0
Red,Rock,E,Minor,0.0627,149.67600000000004,2017.0,0.0586,0.22,4.0
Ozzy Osbourne,Rock,C#,Major,0.447,131.28,1991.0,0.051,0.0,4.0
Yellowcard,Rock,E,Major,0.675,200.884,2001.0,0.0381,0.000119,3.0
Foo Fighters,Rock,G,Major,0.237,131.227,1998.0,0.049,0.042,4.0
Everclear,Rock,G#,Major,0.841,186.174,2011.0,0.13699999999999998,0.000924,4.0
Everclear,Rock,G#,Major,0.841,186.174,2014.0,0.13699999999999998,0.000924,4.0
My Chemical Romance,Rock,G#,Major,0.5,176.02,2012.0,0.0723,0.000115,4.0
Slipknot,Rock,G,Major,0.231,130.77700000000002,2014.0,0.0671,6.45e-05,4.0
Shinedown,Rock,G,Major,0.58,160.03,2018.0,0.0629,0.29600000000000004,4.0
Less Than Jake,Rock,A,Major,0.667,142.94899999999996,2008.0,0.092,6.840000000000001e-05,4.0
Célio Azevedo,Rock,B,Major,0.584,77.768,2020.0,0.937,0.0,4.0
Santana,Rock,F#,Major,0.11,149.72899999999996,1988.0,0.224,0.863,4.0
Alanis Morissette,Rock,G#,Major,0.336,93.94,2020.0,0.0238,0.0,4.0
Nirvana,Rock,F#,Minor,0.575,131.951,1989.0,0.031,0.00058,4.0
Nirvana,Rock,E,Minor,0.6859999999999999,149.44,1989.0,0.0363,8.18e-06,4.0
The Jesus and Mary Chain,Rock,A,Major,0.252,105.656,1987.0,0.0269,0.537,4.0
The Used,Rock,E,Minor,0.461,183.692,2017.0,0.0584,0.0262,3.0
David Bowie,Rock,D,Major,0.441,115.024,2018.0,0.0504,2.1e-05,4.0
Stone Sour,Rock,F#,Major,0.338,144.966,2019.0,0.0443,0.121,4.0
Pink Floyd,Rock,F,Major,0.0342,172.95,2016.0,0.0381,0.337,5.0
Bob Dylan,Rock,D,Major,0.8059999999999999,133.859,1966.0,0.03,0.0,4.0
Máquina Monstro,Rock,E,Minor,0.243,131.00799999999998,2018.0,0.037000000000000005,1.4800000000000002e-05,4.0
Silverchair,Rock,D,Major,0.34,102.764,2000.0,0.0324,2.79e-05,4.0
Patti Smith,Rock,A,Major,0.0578,86.454,1976.0,0.0419,0.479,3.0
Warren Zevon,Rock,F,Major,0.3670000000000001,71.119,1978.0,0.0262,0.0403,4.0
