Artist,Genre,key,mode,valence,tempo,year,speechiness,instrumentalness,time_signature
Eliana,Pop,A,Major,0.971,129.939,2000.0,0.0345,0.0,4.0
Eliana,Pop,C,Major,0.973,142.83100000000005,2001.0,0.0338,5.21e-05,4.0
Nancy Sinatra,Pop,A,Major,0.29100000000000004,117.899,2009.0,0.0342,0.0,4.0
The Cardigans,Pop,G#,Major,0.519,96.659,2004.0,0.0331,0.0002,4.0
Mike,Pop,A,Major,0.711,88.001,2006.0,0.0373,0.93,4.0
Dionne Warwick,Pop,D,Major,0.6990000000000001,112.666,1969.0,0.0471,0.0,4.0
Dionne Warwick,Pop,F,Major,0.246,72.58800000000002,1989.0,0.033,3.04e-05,4.0
Dionne Warwick,Pop,F,Major,0.272,71.868,2019.0,0.0347,0.00154,4.0
Dionne Warwick,Pop,F,Major,0.272,71.868,1964.0,0.0347,0.00154,4.0
Dionne Warwick,Pop,F,Major,0.333,101.54,2018.0,0.0307,2.23e-05,3.0
Dionne Warwick,Pop,F,Major,0.378,73.10600000000002,2018.0,0.0334,0.000195,4.0
George Michael,Pop,B,Minor,0.613,99.161,1987.0,0.0414,0.74,4.0
Jessica Simpson,Pop,E,Minor,0.79,188.001,2001.0,0.136,0.0,4.0
Leighton Meester,Pop,D,Major,0.219,147.954,2010.0,0.0513,0.0,4.0
Erasure,Pop,C,Major,0.7240000000000001,113.815,2017.0,0.0291,1.72e-06,4.0
Erasure,Pop,C,Major,0.6679999999999999,114.099,2018.0,0.0269,1.33e-05,4.0
David Archuleta,Pop,C,Minor,0.5379999999999999,163.97799999999995,2008.0,0.0321,0.0,3.0
Adam Lambert,Pop,F,Major,0.511,145.002,2009.0,0.0467,0.108,4.0
Josh Rouse,Pop,G,Major,0.7070000000000001,136.57399999999998,2013.0,0.0341,0.000243,4.0
Dionne Warwick,Pop,C,Major,0.343,133.218,1982.0,0.0269,2.45e-06,4.0
Little Mix,Pop,A#,Major,0.542,104.053,2020.0,0.0709,0.0,4.0
Olly Murs,Pop,D,Major,0.381,180.192,2010.0,0.0369,0.0,4.0
Kelly Clarkson,Pop,G,Minor,0.5579999999999999,103.133,2017.0,0.079,0.000819,4.0
Kelly Clarkson,Pop,G#,Major,0.134,144.814,2002.0,0.0315,3.71e-05,4.0
Leona Lewis,Pop,G#,Major,0.152,69.124,2007.0,0.029,7.46e-06,4.0
Carole King,Pop,C,Minor,0.249,114.34,1974.0,0.0302,5.06e-05,4.0
Cyndi Lauper,Pop,G,Major,0.541,119.883,1989.0,0.0359,0.0007059999999999999,4.0
Mariah Carey,Pop,D,Major,0.705,89.994,2018.0,0.16399999999999998,0.0,4.0
Eliana,Pop,A,Major,0.969,132.391,1995.0,0.04,0.0,5.0
Cyndi Lauper,Pop,C,Major,0.725,104.006,1993.0,0.109,0.000338,4.0
Ana Carolina,Pop,A,Minor,0.505,83.946,2017.0,0.7879999999999999,5.47e-06,4.0
Michael Jackson,Pop,B,Minor,0.424,118.752,2014.0,0.305,3.45e-06,4.0
Michael Jackson,Pop,E,Minor,0.888,118.752,2014.0,0.061,0.0,4.0
Prefab Sprout,Pop,G,Major,0.34,121.432,1997.0,0.0275,0.00026000000000000003,4.0
Anggun,Pop,C#,Major,0.375,158.99,1998.0,0.0332,2.33e-05,4.0
Eliana,Pop,B,Major,0.989,132.41299999999998,1999.0,0.0348,0.0,4.0
David Archuleta,Pop,A#,Major,0.508,91.991,2009.0,0.0329,0.0,4.0
Vanessa Carlton,Pop,B,Major,0.342,87.132,2017.0,0.0333,0.0,4.0
Christina Perri,Pop,A#,Major,0.161,139.028,2011.0,0.0267,0.000961,3.0
Julieta Venegas,Pop,F,Minor,0.964,127.97,2003.0,0.0353,0.0165,4.0
Jaci Velasquez,Pop,B,Major,0.34700000000000003,149.88,2003.0,0.0284,0.0,4.0
Jaci Velasquez,Pop,G#,Major,0.191,81.57600000000002,2003.0,0.0252,0.0,4.0
Little Mix,Pop,A,Minor,0.6659999999999999,129.915,2015.0,0.0435,0.0,4.0
One Direction,Pop,D#,Major,0.506,141.839,2015.0,0.0309,0.0,4.0
Eliana,Pop,A,Major,0.289,128.433,1995.0,0.0285,0.0,4.0
Meghan Trainor,Pop,E,Major,0.173,86.01899999999998,2019.0,0.0248,0.0,4.0
Meghan Trainor,Pop,B,Minor,0.366,112.072,2019.0,0.032,0.0,4.0
Shania Twain,Pop,D#,Major,0.815,156.38,1996.0,0.0469,0.0,4.0
Kudai,Pop,F#,Major,0.308,145.994,2017.0,0.0878,2.59e-06,4.0
Kudai,Pop,B,Minor,0.17800000000000002,116.024,2017.0,0.0383,0.652,4.0
Pharrell Williams,Pop,B,Minor,0.435,179.997,2016.0,0.168,0.0,4.0
Sara Bareilles,Pop,F#,Major,0.546,85.557,2015.0,0.959,0.0,4.0
Sara Bareilles,Pop,F,Major,0.486,82.667,2015.0,0.935,0.0,4.0
Sara Bareilles,Pop,G#,Minor,0.449,138.489,2015.0,0.936,0.0,5.0
Sara Bareilles,Pop,B,Major,0.534,111.272,2015.0,0.943,0.0,5.0
Sara Bareilles,Pop,A#,Major,0.7659999999999999,94.525,2015.0,0.953,0.0,1.0
Sara Bareilles,Pop,G,Minor,0.564,94.979,2015.0,0.956,0.0,1.0
Sara Bareilles,Pop,G,Minor,0.625,90.432,2015.0,0.958,0.0,1.0
Sara Bareilles,Pop,F,Minor,0.457,68.40100000000001,2015.0,0.947,0.0,3.0
Cassie,Pop,B,Minor,0.8290000000000001,119.954,2020.0,0.103,2.48e-06,5.0
