Artist,Genre,key,mode,valence,tempo,year,speechiness,instrumentalness,time_signature
Travie McCoy,Hip Hop,F,Minor,0.889,145.053,2010.0,0.0786,0.0,4.0
Wu-Tang Clan,Hip Hop,B,Major,0.446,92.409,1992.0,0.077,0.826,4.0
Wu-Tang Clan,Hip Hop,A#,Minor,0.445,92.582,1992.0,0.334,0.01,4.0
Mystikal,Hip Hop,C#,Minor,0.252,139.964,2000.0,0.11,0.0,4.0
Kevin Gates,Hip Hop,F#,Major,0.384,80.775,2016.0,0.311,0.0,5.0
Travie McCoy,Hip Hop,C#,Major,0.512,79.235,2010.0,0.142,1.56e-06,4.0
Ciara,Hip Hop,D,Major,0.6779999999999999,123.995,2015.0,0.112,0.000326,4.0
Ray J,Hip Hop,C,Major,0.6509999999999999,132.013,2008.0,0.11,0.0,4.0
M.I.A.,Hip Hop,A,Major,0.59,95.425,2001.0,0.0689,0.0,4.0
Flo Rida,Hip Hop,C,Major,0.26,106.044,2008.0,0.102,0.0,4.0
Chris Brown,Hip Hop,D#,Major,0.563,111.962,2005.0,0.0273,0.0,4.0
Common,Hip Hop,G,Major,0.488,90.808,1997.0,0.382,0.000113,4.0
Chris Brown,Hip Hop,B,Minor,0.105,133.84799999999998,2019.0,0.0336,0.0,3.0
M.I.A.,Hip Hop,C,Major,0.464,186.909,2001.0,0.13699999999999998,0.0,4.0
Soulja Boy,Hip Hop,F,Major,0.269,105.986,2018.0,0.08199999999999999,0.0,4.0
Meek Mill,Hip Hop,G#,Major,0.46,164.213,2018.0,0.251,0.0,4.0
Souleye,Hip Hop,D,Minor,0.0379,119.981,2011.0,0.0474,0.736,4.0
Kris Kross,Hip Hop,A#,Minor,0.547,97.305,1993.0,0.19,4.26e-05,4.0
Mystikal,Hip Hop,D,Minor,0.7340000000000001,92.394,2001.0,0.276,1.3e-06,4.0
Kris Kross,Hip Hop,A#,Minor,0.568,97.299,1993.0,0.222,7.13e-05,4.0
Ludmilla,Hip Hop,E,Minor,0.841,142.113,2020.0,0.0318,0.0,4.0
Chris Brown,Hip Hop,F,Major,0.517,99.688,2014.0,0.0265,0.0,4.0
Ciara,Hip Hop,F#,Major,0.4370000000000001,122.219,2004.0,0.0653,0.0,4.0
Mac Miller,Hip Hop,B,Major,0.222,139.786,2012.0,0.206,1.89e-06,4.0
Tinashe,Hip Hop,C#,Major,0.29600000000000004,111.007,2020.0,0.0511,0.000742,4.0
M.I.A.,Hip Hop,A,Major,0.376,121.549,2001.0,0.121,1.18e-06,4.0
Chris Brown,Hip Hop,G,Major,0.441,125.993,2005.0,0.0335,0.00546,4.0
Common,Hip Hop,A#,Major,0.35600000000000004,116.802,1994.0,0.911,0.32299999999999995,4.0
Wyclef Jean,Hip Hop,B,Minor,0.453,90.153,1997.0,0.28600000000000003,3.13e-06,4.0
Chris Brown,Hip Hop,G,Major,0.5710000000000001,150.976,2005.0,0.0366,0.000556,4.0
Kevin Gates,Hip Hop,C,Major,0.473,76.493,2016.0,0.398,0.0,5.0
Gym Class Heroes,Hip Hop,A#,Major,0.649,129.989,2012.0,0.0397,7.54e-06,4.0
Gym Class Heroes,Hip Hop,A#,Major,0.591,129.998,2012.0,0.0324,0.303,4.0
T.I.,Hip Hop,G,Major,0.581,91.805,2001.0,0.3,0.0,4.0
Calle 13,Hip Hop,A,Major,0.883,87.991,2005.0,0.101,0.0,4.0
Soulja Boy,Hip Hop,A#,Minor,0.262,139.955,2020.0,0.395,0.0,4.0
Wiz Khalifa,Hip Hop,C#,Major,0.281,74.993,2018.0,0.224,0.0,4.0
Bow Wow,Hip Hop,F#,Major,0.428,92.007,2005.0,0.21600000000000005,0.0,4.0
Omarion,Hip Hop,C#,Major,0.35100000000000003,97.993,2020.0,0.041,0.0105,4.0
Wale,Hip Hop,F#,Minor,0.439,113.021,2019.0,0.165,1.28e-05,4.0
Chris Brown,Hip Hop,A,Major,0.239,76.247,2019.0,0.0667,0.0,4.0
Wyclef Jean,Hip Hop,F,Major,0.332,93.111,2003.0,0.0554,0.0,3.0
21 Savage,Hip Hop,A,Major,0.157,163.02100000000004,2017.0,0.391,0.119,4.0
Xzibit,Hip Hop,B,Minor,0.175,84.619,2004.0,0.311,0.0,4.0
50 Cent,Hip Hop,F#,Minor,0.698,93.933,2003.0,0.263,0.0,4.0
Chris Brown,Hip Hop,F,Minor,0.511,122.926,2019.0,0.0611,0.0,4.0
21 Savage,Hip Hop,F#,Minor,0.387,158.05,2017.0,0.373,1.55e-05,4.0
Usher,Hip Hop,F,Major,0.636,152.279,2020.0,0.101,0.0,4.0
Kehlani,Hip Hop,A#,Major,0.0493,132.203,2020.0,0.0441,0.0,4.0
Twista,Hip Hop,B,Major,0.588,143.97899999999996,2004.0,0.117,3.9299999999999986e-05,4.0
Kevin Gates,Hip Hop,F,Minor,0.635,159.861,2019.0,0.27,0.0,4.0
E-40,Hip Hop,D,Major,0.698,91.22,1993.0,0.266,0.0,4.0
M.I.A.,Hip Hop,A,Major,0.713,125.984,2007.0,0.212,0.0,4.0
Soulja Boy,Hip Hop,B,Major,0.0712,130.053,2018.0,0.29100000000000004,0.0,4.0
Ciara,Hip Hop,E,Minor,0.255,114.949,2006.0,0.338,0.196,4.0
21 Savage,Hip Hop,G#,Minor,0.376,75.016,2017.0,0.35100000000000003,7.04e-06,4.0
Chris Brown,Hip Hop,F#,Major,0.0626,148.028,2012.0,0.101,0.0,4.0
Snoop Dogg,Hip Hop,B,Minor,0.703,76.709,1993.0,0.228,1.15e-06,4.0
Wyclef Jean,Hip Hop,F,Minor,0.623,143.128,2004.0,0.234,0.0,4.0
Cardi B,Hip Hop,F#,Minor,0.502,152.15200000000004,2018.0,0.399,0.0,4.0
Ciara,Hip Hop,F,Major,0.109,83.975,2019.0,0.0269,0.0,4.0
Drake,Hip Hop,G#,Major,0.272,142.069,2019.0,0.172,1.84e-06,4.0
Kehlani,Hip Hop,D,Major,0.925,59.57100000000001,2020.0,0.34600000000000003,0.0,3.0
Xzibit,Hip Hop,F,Minor,0.894,93.947,2000.0,0.208,0.0,4.0
Kevin Gates,Hip Hop,A,Major,0.392,151.07299999999995,2019.0,0.259,0.0,4.0
Mystikal,Hip Hop,B,Minor,0.508,89.98299999999998,1995.0,0.114,5.46e-06,4.0
Wyclef Jean,Hip Hop,F#,Minor,0.7979999999999999,117.965,2004.0,0.0787,0.0,4.0
Cardi B,Hip Hop,G,Major,0.906,155.923,2018.0,0.312,2.85e-06,4.0
Xzibit,Hip Hop,A#,Minor,0.852,77.579,2004.0,0.889,0.000758,3.0
Soulja Boy,Hip Hop,F#,Major,0.555,110.076,2020.0,0.39,0.0,4.0
Bow Wow,Hip Hop,B,Minor,0.733,101.836,2005.0,0.35200000000000004,0.005229999999999999,4.0
Kevin Gates,Hip Hop,A#,Minor,0.34600000000000003,144.911,2019.0,0.391,8.76e-06,4.0
Snoop Dogg,Hip Hop,A#,Minor,0.821,97.998,2017.0,0.298,0.0,4.0
Mystikal,Hip Hop,C#,Major,0.6920000000000001,169.94400000000005,2000.0,0.334,8.31e-05,4.0
Mystikal,Hip Hop,G,Major,0.79,92.919,2001.0,0.0514,0.0,4.0
The Game,Hip Hop,C#,Major,0.3720000000000001,80.49,2014.0,0.415,0.0,4.0
Chris Brown,Hip Hop,D,Major,0.161,87.00200000000002,2012.0,0.0467,0.0,4.0
M.I.A.,Hip Hop,B,Minor,0.76,113.94,2007.0,0.24,0.000454,3.0
The Game,Hip Hop,F,Minor,0.588,93.003,2016.0,0.207,0.0,4.0
Chris Brown,Hip Hop,G#,Minor,0.331,177.65900000000005,2017.0,0.155,0.0,4.0
Xzibit,Hip Hop,A#,Minor,0.6890000000000001,82.97399999999998,2006.0,0.251,0.0,4.0
Xzibit,Hip Hop,A#,Minor,0.662,82.98,2006.0,0.224,0.0,4.0
Wiz Khalifa,Hip Hop,D,Minor,0.5579999999999999,164.114,2017.0,0.0628,0.0,4.0
The Game,Hip Hop,G,Major,0.531,86.015,2004.0,0.272,0.0,4.0
Dustin,Hip Hop,B,Major,0.69,98.027,2005.0,0.187,0.0,4.0
Will Smith,Hip Hop,F#,Major,0.779,93.996,2002.0,0.172,0.0,4.0
Tyga,Hip Hop,C,Major,0.189,80.10300000000002,2015.0,0.75,0.0,4.0
The Game,Hip Hop,A#,Minor,0.431,148.036,2014.0,0.375,1.42e-06,4.0
T-Pain,Hip Hop,G,Minor,0.086,135.04,2005.0,0.0849,0.0,4.0
Common,Hip Hop,F#,Major,0.8320000000000001,104.498,1992.0,0.375,0.0,4.0
